Male incarceration rate,Female incarceration rate,Men:Women
700.9412543672287,23.291549393028404,30.09423042406245
1224.4761571200677,45.17899421033672,27.102775936519496
701.219512195122,39.326162740482246,17.830865340779575
945.2661881060411,56.13463914196194,16.83926720746358
1383.6423038633004,90.92970766422964,15.216614453139876
1187.8519730550097,79.81782754654084,14.882038381242426
1702.4124694847033,119.5657070395994,14.238300526428327
717.6719210466149,50.54716044153787,14.19806601948816
1458.928983647647,109.93523357436469,13.270804420138589
1213.2407073351972,93.45620472512117,12.981917154710608
959.7625946350126,74.83998161467315,12.824196023677821
2517.109060006525,196.96812556177835,12.779271025844446
2184.0220920873694,171.42216837247886,12.740604746882932
1024.780222609434,87.72847486432369,11.681272519490463
1164.6111933802833,102.10682265547294,11.4058117086837
1228.2808956916099,111.11553292517662,11.054088149122355
1987.8959758486212,183.64491390711916,10.824672099843864
1264.500214117961,118.74920140908532,10.648494466601239
1296.2433317186399,123.45153741674712,10.500017730381014
1349.6884326863767,129.57348519674028,10.416393682990408
1508.9724025804492,145.96172161212613,10.338137875561257
1378.1386992093705,134.63608034449837,10.236028081648511
1229.4403777168104,121.74079170130214,10.098836721329292
1459.2595119853436,146.77895535799,9.941885118518853
1627.3678313706616,165.26520247850644,9.847008365734517
1633.5640531898048,167.84306626487538,9.732687143667023
511.0328956274536,52.63119098340717,9.7096965901563
671.3951776579396,70.30683160539428,9.549501269325113
1055.4313761272404,111.3653652163847,9.477195841602281
1926.0872911769138,204.95087262722257,9.397799904371237
1898.7834019717095,206.0510031422234,9.215113603019466
463.97539308125084,50.38814618860913,9.208026652628437
854.7911802435257,96.8640522360662,8.82464815905414
1950.4818853437603,224.98197293670626,8.669502982323325
1303.006124891465,153.11140780965417,8.510183163565076
792.6770061878238,93.5823791227603,8.47036604132493
1555.501606512938,188.62346149489613,8.246596654441248
781.3333916764292,96.55170620193546,8.09238305993568
1337.577064713671,167.09704018414803,8.004792085123736
1698.914073946393,219.7408382722854,7.731444401978814
1093.15957244689,145.8263123580713,7.496312255107129
1367.0249717095298,182.64548339597687,7.484581311796299
1545.176511558546,210.9737236272681,7.32402350867373
678.6893666427063,93.2332706912549,7.279476109877223
645.2581032412966,88.66127485896847,7.277789590412437
1001.8889247844637,143.0920864352518,7.001707430115723
933.8248766275996,136.7839138870173,6.827008016446535
1245.0911980278204,188.30104645781827,6.612237273502014
788.1485280379048,123.14912821467205,6.39995215121632
1065.624815176891,178.5009540568234,5.969855011742198
1533.9552050928978,270.91529984841515,5.662120987449544
946.6274200006493,178.21334515550362,5.311765059876131
671.8601145259474,161.40005713797643,4.162700598994168
